cell,replicate,plasmid,treatment,ctrl_luc,Rluc
KO,1,none,ssRNA,42,37
KO,2,none,ssRNA,35,36
KO,3,none,ssRNA,40,50
KO,1,no_insert,ssRNA,14906,25931
KO,2,no_insert,ssRNA,11476,13574
KO,3,no_insert,ssRNA,15244,18535
KO,4,no_insert,ssRNA,18495,22563
KO,5,no_insert,ssRNA,17565,15983
KO,1,none,3p-ssRNA,41,49
KO,2,none,3p-ssRNA,54,49
KO,3,none,3p-ssRNA,50,46
KO,1,no_insert,3p-ssRNA,27015,45138
KO,2,no_insert,3p-ssRNA,31520,35007
KO,3,no_insert,3p-ssRNA,26096,29436
KO,4,no_insert,3p-ssRNA,28540,30806
KO,5,no_insert,3p-ssRNA,29968,34439
WT,1,none,ssRNA,65,57
WT,2,none,ssRNA,67,71
WT,3,none,ssRNA,72,67
WT,1,no_insert,ssRNA,82876,50070
WT,2,no_insert,ssRNA,90848,49035
WT,3,no_insert,ssRNA,113926,55955
WT,4,no_insert,ssRNA,92727,48145
WT,5,no_insert,ssRNA,98490,43076
WT,1,none,3p-ssRNA,108,77
WT,2,none,3p-ssRNA,123,75
WT,3,none,3p-ssRNA,138,92
WT,1,no_insert,3p-ssRNA,121325,68137
WT,2,no_insert,3p-ssRNA,138190,62544
WT,3,no_insert,3p-ssRNA,168785,71614
WT,4,no_insert,3p-ssRNA,163798,68731
WT,5,no_insert,3p-ssRNA,165955,65092
KO,1,13.1,ssRNA,36430,53051
KO,2,13.1,ssRNA,36329,41949
KO,3,13.1,ssRNA,41430,46302
KO,4,13.1,ssRNA,41045,49056
KO,5,13.1,ssRNA,33146,35442
KO,1,13.1,3p-ssRNA,69556,96040
KO,2,13.1,3p-ssRNA,56986,68083
KO,3,13.1,3p-ssRNA,81158,92402
KO,4,13.1,3p-ssRNA,74875,77711
KO,5,13.1,3p-ssRNA,63039,85169
WT,1,13.1,ssRNA,96344,37572
WT,2,13.1,ssRNA,115414,27672
WT,3,13.1,ssRNA,104284,34797
WT,4,13.1,ssRNA,106882,32074
WT,5,13.1,ssRNA,86262,33576
WT,1,13.1,3p-ssRNA,151672,53633
WT,2,13.1,3p-ssRNA,195106,52551
WT,3,13.1,3p-ssRNA,211683,49662
WT,4,13.1,3p-ssRNA,173858,42790
WT,5,13.1,3p-ssRNA,188812,53604
KO,1,13.2,ssRNA,34030,85076
KO,2,13.2,ssRNA,41780,72527
KO,3,13.2,ssRNA,64611,113432
KO,4,13.2,ssRNA,57004,126448
KO,5,13.2,ssRNA,59249,105690
KO,1,13.2,3p-ssRNA,73741,165072
KO,2,13.2,3p-ssRNA,84581,126557
KO,3,13.2,3p-ssRNA,89941,140038
KO,4,13.2,3p-ssRNA,83918,154310
KO,5,13.2,3p-ssRNA,78238,146273
WT,1,13.2,ssRNA,244517,168874
WT,2,13.2,ssRNA,238052,148827
WT,3,13.2,ssRNA,189689,142954
WT,4,13.2,ssRNA,199917,141227
WT,5,13.2,ssRNA,201816,145396
WT,1,13.2,3p-ssRNA,297957,200288
WT,2,13.2,3p-ssRNA,363741,193161
WT,3,13.2,3p-ssRNA,392060,199867
WT,4,13.2,3p-ssRNA,311134,179582
WT,5,13.2,3p-ssRNA,305901,170570